index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00991416,0,0,0,0,0,0
1,10,1,0.0198283,0,0,0,0,0,0
2,10,2,0.0297425,0,0,0,0,0,0
3,10,3,0.0396567,0,0,0,0,0,0
4,12,0,0.0495708,0,0,0,0,0,0
5,13,0,0.059485,0,0,0,0,0,0.0924901
6,14,0,0.0693991,0,0,0,0,0,0.166482
7,15,0,0.0793133,0,0,0,0,0,0.221976
8,16,0,0.0892275,0,0,0,0,0,0.258972
9,17,0,0.0991416,0,0,0,0,0,0.27747
10,18,0,0.109056,0,0.0002,0,0.0201732,0,0.18498
11,19,0,0.11897,0,0.0004,0,0.0201732,0,0.0924901
12,20,0,0.128884,1,0.0006,1,0.0201732,1,2.98023e-09
13,21,0,0.138798,1,0.0008,0,0.0201732,-1,-0.0924901
14,22,0,0.148712,1,0.001,0,0.0201732,0,-0.0924901
15,23,0,0.158627,1,0.001,0,0,0,-0.110988
16,24,0,0.168541,1,0.001,0,0,0,-0.036996
17,25,0,0.178455,1,0.001,0,0,0,0.036996
18,25,1,0.188369,1,0.001,0,0,0,0.110988
19,26,0,0.198283,1,0.0012,0,0.0201732,0,0.0924901
20,28,0,0.208197,1,0.0014,0,0.0201732,0,0.0924901
21,29,0,0.218112,2,0.0016,1,0.0201732,1,0.0924901
22,30,0,0.228026,2,0.0018,0,0.0201732,-1,0.0739921
23,31,0,0.23794,2,0.002,0,0.0201732,0,0.036996
24,32,0,0.247854,2,0.002,0,0,0,-0.018498
25,33,0,0.257768,2,0.002,0,0,0,0.018498
26,34,0,0.267682,2,0.0022,0,0.0201732,0,-0.036996
27,35,0,0.277597,2,0.0024,0,0.0201732,0,0.018498
28,36,0,0.287511,3,0.0026,1,0.0201732,1,0.0739921
29,37,0,0.297425,3,0.0028,0,0.0201732,-1,0.129486
30,38,0,0.307339,3,0.003,0,0.0201732,0,0.166482
31,39,0,0.317253,3,0.003,0,0,0,0.166482
32,40,0,0.327167,3,0.0032,0,0.0201732,0,0.147984
33,41,0,0.337082,3,0.0034,0,0.0201732,0,0.129486
34,42,0,0.346996,4,0.0036,1,0.0201732,1,0.203478
35,43,0,0.35691,4,0.004,0,0.0403463,-1,0.166482
36,44,0,0.366824,4,0.0044,0,0.0403463,0,0.129486
37,45,0,0.376738,5,0.0046,1,0.0201732,1,-0.018498
38,46,0,0.386652,5,0.0048,0,0.0201732,-1,-0.0739921
39,47,0,0.396567,5,0.0052,0,0.0403463,0,-0.129486
40,48,0,0.406481,5,0.0054,0,0.0201732,0,-0.18498
41,49,0,0.416395,6,0.0056,1,0.0201732,1,-0.129486
42,50,0,0.426309,6,0.0058,0,0.0201732,-1,-0.0554941
43,51,0,0.436223,6,0.006,0,0.0201732,0,-0.0739921
44,52,0,0.446137,6,0.0062,0,0.0201732,0,-0.18498
45,53,0,0.456052,6,0.0064,0,0.0201732,0,-0.166482
46,54,0,0.465966,7,0.0066,1,0.0201732,1,-0.221976
47,55,0,0.47588,7,0.0068,0,0.0201732,-1,-0.166482
48,56,0,0.485794,7,0.007,0,0.0201732,0,-0.110988
49,57,0,0.495708,7,0.007,0,0,0,-0.0554941
50,58,0,0.505622,7,0.007,0,0,0,0.0924901
51,59,0,0.515536,7,0.007,0,0,0,0.221976
52,60,0,0.525451,7,0.0072,0,0.0201732,0,0.332964
53,61,0,0.535365,7,0.0074,0,0.0201732,0,0.425454
54,62,0,0.545279,8,0.0076,1,0.0201732,1,0.499446
55,63,0,0.555193,8,0.008,0,0.0403463,-1,0.443952
56,64,0,0.565107,8,0.0084,0,0.0403463,0,0.351462
57,65,0,0.575021,9,0.0088,1,0.0403463,1,0.129486
58,66,0,0.584936,9,0.0092,0,0.0403463,-1,5.96046e-09
59,67,0,0.59485,10,0.0096,1,0.0403463,1,-0.036996
60,68,0,0.604764,10,0.01,0,0.0403463,-1,-0.0924901
61,69,0,0.614678,10,0.0104,0,0.0403463,0,0.036996
62,70,0,0.624592,11,0.0106,1,0.0201732,1,0.240474
63,71,0,0.634506,11,0.0108,0,0.0201732,-1,0.499446
64,72,0,0.644421,11,0.0112,0,0.0403463,0,0.702925
65,73,0,0.654335,11,0.0116,0,0.0403463,0,0.850909
66,74,0,0.664249,12,0.0122,1,0.0605195,1,1.03589
67,75,0,0.674163,13,0.013,1,0.0806926,0,1.14688
68,76,0,0.684077,14,0.014,1,0.100866,0,1.16538
69,77,0,0.693991,15,0.015,1,0.100866,0,1.16538
70,78,0,0.703906,16,0.016,1,0.100866,0,1.23937
71,79,0,0.71382,17,0.0172,1,0.121039,0,1.18387
72,80,0,0.723734,18,0.0184,1,0.121039,0,1.20237
73,81,0,0.733648,20,0.0198,2,0.141212,1,1.29486
74,82,0,0.743562,21,0.0214,1,0.161385,-1,1.46134
75,83,0,0.753476,23,0.0232,2,0.181558,1,1.49834
76,84,0,0.763391,25,0.025,2,0.181558,0,1.49834
77,85,0,0.773305,27,0.027,2,0.201732,0,1.55383
78,86,0,0.783219,29,0.0292,2,0.221905,0,1.36885
79,87,0,0.793133,31,0.0316,2,0.242078,0,1.25787
80,88,0,0.803047,34,0.034,3,0.242078,1,1.22087
81,89,0,0.812961,37,0.0366,3,0.262251,0,1.16538
82,90,0,0.822876,39,0.0394,2,0.282424,-1,1.09138
83,91,0,0.83279,42,0.042,3,0.262251,1,1.18387
84,92,0,0.842704,45,0.0448,3,0.282424,0,1.14688
85,93,0,0.852618,47,0.0478,2,0.302597,-1,1.20237
86,94,0,0.862532,51,0.0508,4,0.302597,2,1.23937
87,95,0,0.872446,54,0.054,3,0.322771,-1,1.35036
88,96,0,0.882361,57,0.0576,3,0.363117,0,1.44285
89,97,0,0.892275,61,0.061,4,0.342944,1,1.40585
90,98,0,0.902189,65,0.0646,4,0.363117,0,1.42435
91,99,0,0.912103,68,0.0684,3,0.38329,-1,1.49834
92,100,0,0.922017,72,0.0724,4,0.403463,1,1.33186
93,101,0,0.931931,76,0.0764,4,0.403463,0,1.33186
94,102,0,0.941845,81,0.0806,5,0.423636,1,1.49834
95,103,0,0.95176,85,0.085,4,0.44381,-1,1.42435
96,104,0,0.961674,89,0.0896,4,0.463983,0,1.31336
97,105,0,0.971588,94,0.094,5,0.44381,1,1.36885
98,106,0,0.981502,99,0.0988,5,0.484156,0,1.29486
99,107,0,0.991416,103,0.1038,4,0.504329,-1,1.20237
100,108,0,1.00133,109,0.1088,6,0.504329,2,1.18387
101,109,0,1.01124,114,0.1138,5,0.504329,-1,1.23937
102,110,0,1.02116,119,0.1192,5,0.544675,0,1.27636
103,111,0,1.03107,124,0.1244,5,0.524502,0,1.18387
104,112,0,1.04099,130,0.1298,6,0.544675,1,1.16538
105,113,0,1.0509,135,0.1354,5,0.564848,-1,1.23937
106,114,0,1.06082,141,0.1412,6,0.585022,1,1.29486
107,115,0,1.07073,147,0.147,6,0.585022,0,1.22087
108,116,0,1.08064,153,0.153,6,0.605195,0,1.33186
109,117,0,1.09056,159,0.159,6,0.605195,0,1.31336
110,118,0,1.10047,165,0.1652,6,0.625368,0,1.25787
111,119,0,1.11039,171,0.1716,6,0.645541,0,1.18387
112,120,0,1.1203,178,0.178,7,0.645541,1,1.20237
113,121,0,1.13021,185,0.1846,7,0.665714,0,1.20237
114,122,0,1.14013,191,0.1914,6,0.685887,-1,1.18387
115,123,0,1.15004,198,0.1982,7,0.685887,1,1.14688
116,124,0,1.15996,205,0.205,7,0.685887,0,1.18387
117,125,0,1.16987,212,0.212,7,0.706061,0,1.29486
118,126,0,1.17979,219,0.2192,7,0.726234,0,1.27636
119,127,0,1.1897,226,0.2264,7,0.726234,0,1.33186
120,128,0,1.19961,234,0.2338,8,0.746407,1,1.36885
121,129,0,1.20953,241,0.2414,7,0.76658,-1,1.38735
122,130,0,1.21944,249,0.2492,8,0.786753,1,1.27636
123,131,0,1.22936,257,0.257,8,0.786753,0,1.23937
124,132,0,1.23927,265,0.265,8,0.806926,0,1.27636
125,133,0,1.24918,273,0.273,8,0.806926,0,1.27636
126,134,0,1.2591,281,0.2812,8,0.8271,0,1.23937
127,135,0,1.26901,289,0.2894,8,0.8271,0,1.27636
128,136,0,1.27893,298,0.2978,9,0.847273,1,1.29486
129,137,0,1.28884,306,0.3064,8,0.867446,-1,1.29486
130,138,0,1.29876,315,0.3152,9,0.887619,1,1.27636
131,139,0,1.30867,324,0.324,9,0.887619,0,1.23937
132,140,0,1.31858,333,0.333,9,0.907792,0,1.27636
133,141,0,1.3285,342,0.342,9,0.907792,0,1.27636
134,142,0,1.33841,351,0.3512,9,0.927965,0,1.23937
135,143,0,1.34833,360,0.3604,9,0.927965,0,1.27636
136,144,0,1.35824,370,0.3698,10,0.948139,1,1.38735
137,145,0,1.36815,379,0.3794,9,0.968312,-1,1.46134
138,146,0,1.37807,389,0.3892,10,0.988485,1,1.49834
139,147,0,1.38798,399,0.399,10,0.988485,0,1.49834
140,148,0,1.3979,409,0.409,10,1.00866,0,1.55383
141,149,0,1.40781,419,0.4192,10,1.02883,0,1.46134
142,150,0,1.41773,429,0.4296,10,1.049,0,1.23937
143,151,0,1.42764,440,0.44,11,1.049,1,1.20237
144,152,0,1.43755,451,0.4506,11,1.06918,0,1.14688
145,153,0,1.44747,461,0.4614,10,1.08935,-1,0.980395
146,154,0,1.45738,472,0.4722,11,1.08935,1,0.906403
147,155,0,1.4673,483,0.4828,11,1.06918,0,0.924901
148,156,0,1.47721,494,0.4938,11,1.10952,0,0.943399
149,157,0,1.48712,504,0.5048,10,1.10952,-1,0.961897
150,158,0,1.49704,516,0.5158,12,1.10952,2,1.07289
151,159,0,1.50695,527,0.527,11,1.1297,-1,1.18387
152,160,0,1.51687,538,0.5384,11,1.14987,0,1.29486
153,161,0,1.52678,550,0.5498,12,1.14987,1,1.27636
154,162,0,1.5367,561,0.5614,11,1.17004,-1,1.33186
155,163,0,1.54661,573,0.5732,12,1.19022,1,1.36885
156,164,0,1.55652,585,0.585,12,1.19022,0,1.09138
157,165,0,1.56644,597,0.597,12,1.21039,0,0.18498
158,166,0,1.57635,609,0.6092,12,1.23056,0,-1.29486
159,167,0,1.58627,621,0.6214,12,1.23056,0,-3.20016
160,168,0,1.59618,634,0.6338,13,1.25074,1,-5.47541
161,169,0,1.60609,646,0.6458,12,1.21039,-1,-7.65818
162,170,0,1.61601,659,0.6564,13,1.06918,1,-9.26751
163,171,0,1.62592,669,0.6654,10,0.907792,-3,-10.1739
164,172,0,1.63584,674,0.673,5,0.76658,-5,-10.1554
165,173,0,1.64575,679,0.6788,5,0.585022,0,-9.41549
166,174,0,1.65567,684,0.6834,5,0.463983,0,-7.65818
167,175,0,1.66558,688,0.6878,4,0.44381,-1,-5.32743
168,176,0,1.67549,692,0.692,4,0.423636,0,-2.94118
169,177,0,1.68541,696,0.6964,4,0.44381,0,-1.05439
170,178,0,1.69532,700,0.7008,4,0.44381,0,0.591937
171,179,0,1.70524,706,0.7056,6,0.484156,2,1.42435
172,180,0,1.71515,710,0.7106,4,0.504329,-2,1.70182
173,181,0,1.72506,716,0.716,6,0.544675,2,1.75731
