index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
110,129,0,1.08378,269,0.2694,8,0.839839,0,1.41134
111,130,0,1.09354,278,0.2778,9,0.860323,1,1.27784
112,131,0,1.10331,286,0.2862,8,0.860323,-1,1.22062
113,132,0,1.11307,295,0.2948,9,0.880806,1,1.23969
114,133,0,1.12283,303,0.3034,8,0.880806,-1,1.12526
115,134,0,1.1326,312,0.3122,9,0.90129,1,1.20155
116,135,0,1.14236,321,0.321,9,0.90129,0,1.25877
117,136,0,1.15213,330,0.33,9,0.921774,0,1.39227
118,137,0,1.16189,339,0.3392,9,0.942258,0,1.39227
119,138,0,1.17165,348,0.3484,9,0.942258,0,1.56392
120,139,0,1.18142,358,0.3578,10,0.962742,1,1.48763
121,140,0,1.19118,367,0.3674,9,0.983226,-1,1.39227
122,141,0,1.20094,377,0.3772,10,1.00371,1,1.27784
123,142,0,1.21071,387,0.387,10,1.00371,0,1.14433
124,143,0,1.22047,397,0.3972,10,1.04468,0,1.01083
125,144,0,1.23024,407,0.4072,10,1.02419,0,0.972684
126,146,0,1.24,418,0.4172,11,1.02419,1,1.01083
127,146,1,1.24976,427,0.4274,9,1.04468,-2,1.0299
128,147,0,1.25953,437,0.4376,10,1.04468,1,1.14433
129,148,0,1.26929,448,0.4478,11,1.04468,1,1.14433
130,149,0,1.27906,458,0.4584,10,1.08565,-1,1.35413
131,150,0,1.28882,469,0.4692,11,1.10613,1,1.44949
132,151,0,1.29858,480,0.48,11,1.10613,0,1.41134
133,152,0,1.30835,491,0.491,11,1.12661,0,1.44949
134,153,0,1.31811,502,0.502,11,1.12661,0,1.44949
135,154,0,1.32787,513,0.5132,11,1.1471,0,1.29691
136,155,0,1.33764,524,0.5246,11,1.16758,0,1.22062
137,156,0,1.3474,536,0.536,12,1.16758,1,1.23969
138,157,0,1.35717,548,0.5476,12,1.18806,0,1.23969
139,158,0,1.36693,559,0.5594,11,1.20855,-1,1.22062
140,159,0,1.37669,571,0.5712,12,1.20855,1,1.18248
141,160,0,1.38646,583,0.583,12,1.20855,0,1.12526
142,161,0,1.39622,595,0.595,12,1.22903,0,1.06804
143,162,0,1.40598,607,0.6072,12,1.24952,0,0.629383
144,163,0,1.41575,619,0.6194,12,1.24952,0,-0.0190722
145,164,0,1.42551,632,0.6318,13,1.27,1,-0.896395
146,165,0,1.43528,644,0.6442,12,1.27,-1,-1.92629
147,166,0,1.44504,657,0.6566,13,1.27,1,-3.14692
148,167,0,1.4548,669,0.6684,12,1.20855,-1,-4.08146
149,168,0,1.46457,681,0.6796,12,1.1471,0,-4.59641
150,169,0,1.47433,691,0.69,10,1.06516,-2,-4.78713
151,170,0,1.48409,700,0.6998,9,1.00371,-1,-4.53919
152,171,0,1.49386,709,0.7088,9,0.921774,0,-3.85259
153,172,0,1.50362,718,0.7176,9,0.90129,0,-2.93712
154,173,0,1.51339,726,0.7264,8,0.90129,-1,-2.11702
155,174,0,1.52315,735,0.7352,9,0.90129,1,-1.43042
156,175,0,1.53291,744,0.744,9,0.90129,0,-1.12526
157,176,0,1.54268,753,0.753,9,0.921774,0,-1.12526
158,177,0,1.55244,762,0.7618,9,0.90129,0,-1.46856
159,179,0,1.5622,771,0.7704,9,0.880806,0,-1.77372
160,180,0,1.57197,779,0.7788,8,0.860323,-1,-2.04073
